document_id,category,confidence,explanation,document_types_0,document_types_1,document_types_2,primary_subjects_0,ddc_classifications_0,summarys_0,topics_0,topics_1,topics_2,topics_3,topics_4,categorys_0,categorys_1,sensitivitys_0,sensitivitys_1,scopess_0,scopess_1,monetarys_0,monetarys_1,monetarys_2,monetarys_3,monetarys_4,monetarys_5,monetarys_6,monetarys_7,monetarys_8,monetarys_9,monetarys_10,monetarys_11,monetarys_12,monetarys_13,monetarys_14,monetarys_15,monetarys_16,monetarys_17,monetarys_18,monetarys_19,monetarys_20,monetarys_21,monetarys_22,monetarys_23,monetarys_24,monetarys_25,monetarys_26,monetarys_27,monetarys_28,messages_0,document_types_3,document_types_4,topics_5,topics_6,topics_7,topics_8,topics_9,categorys_2,categorys_3,categorys_4,scopess_2,namess_0,namess_1,namess_2,categorys_5,date_and_timess_0,date_and_timess_1,namess_3,namess_4,namess_5,compensations_0,namess_6,namess_7,namess_8,namess_9,namess_10,namess_11,namess_12,namess_13,date_and_timess_2,date_and_timess_3,date_and_timess_4,emailss_0,emailss_1,emailss_2,categorys_6,categorys_7,categorys_8,emailss_3,emailss_4
65809,Public,90%,Publicly relevant XML document containing only technical details.,XML Document,Office Document Relationships,Slide Presentation,Relationships in Office Document,005.5 - Computer Programming,"This XML document defines relationships for a slide presentation, including images and notes slides.",Office document structure,XML relationships,Slide presentations,Media references,Notes slides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media References,Notes Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66857,Public,90%,Placeholder text with no sensitive information.,,,,Lorem Ipsum,"000 - Computer Science, Information & General Works",This document contains placeholder text commonly used in the design and typesetting industry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67905,Public,90%,"Technical document on header structure, no sensitive data.",Header,XML Document,Word Processing Document,Document Header Structure,005.74 - Document Management,"This document contains the header structure for a Word processing document, including various XML namespaces and elements.",XML Namespaces,Word Processing,Document Structure,Office Document Standards,Image Embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DrawingML,WordML,Document Relationships,Office Compatibility,Markup Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68651,Public,90%,Technical details regarding document relationships without sensitive data.,XML Document,Office Document Relationships,,Document Relationships in Office Formats,005.5 - Computer Programming,"This XML document defines relationships for an Office document, including slide layouts and notes slides.",XML Structure,Office Document Relationships,Slide Layouts,Notes Slides,OpenXML Formats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70490,Public,90%,"Similar to previous documents on slide relationships, no sensitive information.",XML Document,Office Document Relationships,,Slide Relationships in Office Document,"005.5 - Computer Programming, Programs and Data","This XML document defines relationships for a presentation, including slide layouts, notes slides, and images.",Office document structure,Slide layouts,Notes slides,Image references,XML schema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70854,Public,90%,"PowerPoint layout description, contains no sensitive information.",Presentation Slide,PowerPoint Layout,Slide Design,PowerPoint Slide Layout,005.5 - Computer Software,This document defines a PowerPoint slide layout named 'Title and Content' with various shapes and text boxes for content presentation.,PowerPoint Design,Slide Layouts,Visual Presentation,Content Organization,Graphic Elements,,,,,Design Scope,Content Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Content,Template,Text Formatting,Shape Customization,Presentation Tools,User Interface,Document Structure,,,,Presentation Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71208,Public,90%,XML configuration document related to web settings with no sensitivity.,,,,Web Settings Configuration,"005.5 - Computer Programming, Software Development",This document contains XML configuration settings for web-related features in a Word processing application.,XML Configuration,Web Settings,Word Processing,Document Relationships,Markup Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72808,Public,90%,XML document defining chart data with no sensitive details.,XML Document,Chart Data,Spreadsheet Chart,Chart configuration for EDP Q1 vs. Q2,005.55 - Data Visualization,"This XML document contains the configuration for a bar chart comparing EDP performance in Q1 and Q2, including data series and formatting details.",Bar Chart,Data Series,Chart Formatting,Performance Comparison,XML Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Visualization,Office Document,Office Document Standards,Data Visualization Techniques,Chart Axes Configuration,Legend Settings,Data Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74195,Restricted,80%,Contains employee names and email addresses in event participation requests.,Form Responses,Leave Request,Business Trip Request,Employee Requests,658.3 - Human Resource Management,"This document contains various employee requests for leave, business trips, and event participation, including details from employees such as Aivaras Sukackas and Paulius Valiulis.",Leave Requests,Business Trips,Event Participation,Employee Details,Approval Status,Leave requests,Business trip requests,,,Employee leave,Business travel,50Eur for event participation,Estimated travel expenses: 598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event Participation Request,,,,,,,Event participation requests,,,Event organization,Aivaras Sukackas,Paulius Valiulis,Emilija Pabarčienė,,2023-04-21: Leave start date,2023-04-21: Leave end date,Toomas Gavrilin,,,,,,,,,,,,2023-06-08: Leave start date,2023-06-19: Leave end date,2023-04-25: Event date,paul@terasky.com,emilija@terasky.com,toomas@terasky.com,,,,,
75875,Public,90%,"Public document related to PowerPoint design, no sensitive information.",Presentation,Slide Layout,Template,PowerPoint Slide Layout,005.5 - Computer Software,This document defines a PowerPoint slide layout named '7_Two Content' with various shapes and text boxes for content organization.,PowerPoint Design,Slide Layouts,Visual Presentation,Content Organization,Graphic Elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48448,Public,90%,PowerPoint layout description containing no sensitive information.,Presentation Layout,Slide Template,PowerPoint Design,PowerPoint Slide Layout,005.5 - Computer Programming,"This document defines a PowerPoint slide layout named 'Orange Image Right 1 1' used for presentations, featuring various shapes and text styles, including branding for Pure Storage.",PowerPoint Design,Slide Layouts,Visual Presentation,Graphic Design,Template Creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Design,Graphic Layout,Branding,Text Formatting,Shape Design,Presentation Tools,User Interface,,,,,Pure Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78293,Internal,75%,Contains script details that could involve sensitive processing functionalities.,Python Script,Notification System,Data Processing,Notification context composition for alerts,005.1 - Computer Programming,"This script defines a notification context composition for alerts, including details about alerts, findings, and recommendations. It utilizes Pydantic for data validation and includes functions for processing entity contexts and key findings.",Alert details management,Entity context processing,Finding list construction,Notification payload normalization,Recommendation splitting,,,,,Alert management,Data processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alert Management,Entity Context Handling,Code token collection,Data validation with Pydantic,Sorting entity roles,Handling file hashes,Truncating findings,,,,Notification system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81791,Restricted,85%,Discusses cybersecurity threats and financial impact of breaches which may be sensitive.,Report,Analysis,White Paper,Cybersecurity Threats and Trends,005.8 - Cybersecurity,"This document discusses the increasing threats in cybersecurity, particularly in Ukraine, highlighting significant statistics and incidents involving cyberattacks on various sectors, including government and private organizations. It emphasizes the financial impact of cybercrime and the need for proactive cybersecurity strategies.",Cybersecurity statistics,Ransomware attacks,Phishing threats,IoT vulnerabilities,Supply chain attacks,Cybersecurity services,Incident response,,,Cybersecurity strategy,Risk assessment,$10.5 trillion - projected global losses from cybercrime in 2024,$23 trillion - projected annual cost of cybercrime by 2027,$4.9 million - average cost of a data breach in 2024,$5.2 million - average cost after a ransomware attack,,,,,,,,,,,,,,,,,,,,,,,,,,,Research,Presentation,Human factor in security,Cybersecurity workforce shortage,Investment in cybersecurity,Training and awareness,International cooperation,Risk management,Cost of data breaches,Financial losses from cybercrime,Incident response planning,MHP,Epicenter,Google Threat Analysis Group,,"January 22, 2023 - Cyberattack on MHP","April 28, 2023 - Cyberattack on Epicenter",CISO Club Ukraine,Terasky,,,,,,,,,,,2024 - Projected statistics and trends,,,yaryna.voznyak@itcluster.lviv.ua,,,,,,,
82876,Confidential,80%,Contains implementation details that could be sensitive related to software development.,Source Code,Software Documentation,Configuration File,Script Bundle Writer Implementation,005.13 - Software Development,"This document contains the implementation of a BundleWriter for creating script bundles, including parsing and writing functionalities. It includes handling of various file types such as .pxl, vis.json, placement.json, and manifest.yaml.",Go Programming Language,File Handling,Error Handling,JSON Encoding,YAML Decoding,,,,,Script Management,File Parsing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Script,Manifest,Script Management,Bundle Creation,Path Manipulation,Data Structures,Software Licensing,,,,Bundle Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83255,Internal,70%,Details deployment strategies which might involve internal processes.,Kubernetes Configuration,Deployment Manifest,Kustomization File,Kubernetes Kustomization for etcd deployment,"005.74 - Computer Science, Software Engineering",This document defines a Kustomization for deploying etcd in the pl namespace with common labels for monitoring.,Kubernetes,etcd,Kustomize,Deployment,Configuration Management,,,,,Deployment,Configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83536,Public,90%,Build configuration document which is technical but non-sensitive.,Source Code,Build Configuration,Library Definition,Bazel build configuration for Go library,005.13 - Programming Languages,"This document defines a Bazel build configuration for the 'vizier_yamls' Go library, part of the Pixie project.",Bazel build system,Go programming language,Library dependencies,Software licensing,Project structure,"Apache License, Version 2.0",,,,Library functionality,Project dependencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pixie Authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63229,Public,90%,"Social media post regarding a public lecture, contains no sensitive information.",Social Media Post,Event Announcement,,Inspiring Lecture by Arik Zeevi,796.812 - Sports and Recreation,"The post highlights an inspiring lecture by Arik Zeevi, a Judoka, shared by Teraskygroup on April 17, 2024.",Inspiration,Sports,Judoka,Public Speaking,Motivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arik Zeevi,Teraskygroup,,,"April 17, 2024 - Lecture by Arik Zeevi",,,,,,,,,,,,,,,,,,,,,,,,
88818,Restricted,85%,Contains detailed business information including customer names and financial figures.,Customer Data,Financial Overview,Business Contacts,Business and Financial Information of Companies,650.1 Business Management,"This document contains detailed information about various companies, including customer names, revenue, employee count, sector, country, and contact details. Notable entries include Apix, Milrem Robotics, and Eleving Group.",Company Revenue,Employee Count,Sector Information,Contact Emails,Country of Operation,Customer names,Revenue,,,Business Overview,Market Analysis,10 mln. - Apix Revenue,103 895 € - NEO FINANCE Revenue,2 299 356 € - Soli Tek Cells Revenue,3.8m - Eleving Group Revenue,40 223 000 € - MG BALTIC KONCERNAS UAB Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,Market Analysis,Company Profiles,Business Status,Market Presence,Customer Relationships,Financial Services,Retail Sector,Employees,Sector,Country,Customer Engagement,Apix,Milrem Robotics,Eleving Group,Contact email,,,"NEO FINANCE, AB",Soli Tek Cells,,,,,,,,,,,,,,info@apix.lt,info@milrem.com,info@eleving.com,Yearly revenue,Financial services,Retail & Wholesale,info@neofinance.com,info@solitek.eu
